timestamp,station_id,temperature,humidity,co2
2025-03-26 05:32:13,env-station-01,30.31,50.31,337.62
2025-03-26 05:32:23,env-station-01,-15.18,50.54,504.25
2025-03-26 05:32:33,env-station-01,-37.82,73.96,352.27
2025-03-26 05:32:43,env-station-01,26.83,7.15,1644.56
2025-03-26 05:32:53,env-station-01,-39.17,27.02,852.26
2025-03-26 05:33:03,env-station-01,-44.6,70.85,560.18
2025-03-26 05:33:13,env-station-01,40.54,10.82,928.12
2025-03-26 05:33:23,env-station-01,27.69,31.24,1644.47
2025-03-26 05:33:33,env-station-01,-37.83,74.52,1669.58
2025-03-26 05:33:43,env-station-01,-12.91,19.61,519.04
2025-03-26 05:33:53,env-station-01,-13.13,91.79,642.84
2025-03-26 05:34:03,env-station-01,32.82,87.33,362.7
2025-03-26 05:34:13,env-station-01,-45.59,99.04,963.52
2025-03-26 05:34:23,env-station-01,4.69,0.08,941.99
2025-03-26 05:34:33,env-station-01,24.84,96.97,1433.7
2025-03-26 05:34:43,env-station-01,42.84,51.8,1831.14
2025-03-26 05:34:53,env-station-01,-46.45,90.6,1639.92
2025-03-26 05:35:03,env-station-01,16.96,61.97,505.91
2025-03-26 05:35:14,env-station-01,38.05,54.81,1132.75
2025-03-26 05:35:24,env-station-01,-37.58,54.17,1623.57
2025-03-26 05:35:34,env-station-01,-20.21,98.12,1323.17
2025-03-26 05:35:44,env-station-01,-24.39,50.05,738.52
2025-03-26 05:35:54,env-station-01,-22.06,83.66,537.26
2025-03-26 05:36:04,env-station-01,46.46,30.74,687.04
2025-03-26 05:36:14,env-station-01,22.72,12.54,1865.78
2025-03-26 05:36:24,env-station-01,-49.53,34.16,420.78
2025-03-26 05:36:34,env-station-01,-21.59,64.47,1031.68
2025-03-26 05:36:44,env-station-01,43.89,55.75,1839.54
2025-03-26 05:36:54,env-station-01,-10.94,16.49,1344.43
2025-03-26 05:37:04,env-station-01,24.62,11.13,818.24
2025-03-26 05:37:14,env-station-01,-40.68,98.67,843.77
2025-03-26 05:37:24,env-station-01,-28.03,49.48,319.39
2025-03-26 05:37:34,env-station-01,-9.62,82.55,343.45
2025-03-26 05:37:44,env-station-01,-34.47,2.17,630.31
2025-03-26 05:37:54,env-station-01,42.72,39.99,1062.75
2025-03-26 05:38:04,env-station-01,-43.84,56.43,1216.05
2025-03-26 05:38:14,env-station-01,2.09,35.85,729.71
2025-03-26 05:38:24,env-station-01,31.17,8.93,353.29
2025-03-26 05:38:34,env-station-01,-35.41,75.45,655.1
2025-03-26 05:38:44,env-station-01,43.51,74.66,558.95
2025-03-26 05:38:54,env-station-01,3.07,57.28,1088.19
2025-03-26 05:39:04,env-station-01,-9.69,6.57,1074.77
2025-03-26 05:39:14,env-station-01,41.96,73.6,1296.08
2025-03-26 05:39:24,env-station-01,-21.45,13.29,1979.51
2025-03-26 05:39:34,env-station-01,16.87,18.06,1748.12
2025-03-26 05:39:44,env-station-01,9.56,83.3,1186.85
2025-03-26 05:39:54,env-station-01,-46.86,15.34,1330.47
2025-03-26 05:40:04,env-station-01,33.13,33.78,796.0
2025-03-26 05:40:14,env-station-01,26.55,5.37,543.2
2025-03-26 05:40:24,env-station-01,-36.02,12.94,934.7
2025-03-26 05:40:34,env-station-01,43.69,7.71,777.03
2025-03-26 05:40:44,env-station-01,-6.32,8.37,1699.06
2025-03-26 05:40:51,env-station-01,29.26,80.05,323.1
2025-03-26 05:41:01,env-station-01,47.56,56.34,1308.31
2025-03-26 05:41:11,env-station-01,-10.45,36.94,1649.38
2025-03-26 05:41:21,env-station-01,-31.98,99.08,1618.58
2025-03-26 05:41:31,env-station-01,22.14,99.25,423.65
2025-03-26 05:41:41,env-station-01,49.94,84.75,1163.72
2025-03-26 05:41:51,env-station-01,-13.43,0.5,1075.06
2025-03-26 05:42:01,env-station-01,4.47,47.08,1501.73
2025-03-26 05:42:11,env-station-01,-31.7,7.08,1125.57
2025-03-26 05:42:21,env-station-01,-20.14,77.17,845.2
2025-03-26 05:42:31,env-station-01,-45.78,23.23,653.31
2025-03-26 05:42:41,env-station-01,-4.47,61.08,701.72
2025-03-26 05:42:51,env-station-01,-44.42,45.23,1728.45
2025-03-26 05:43:01,env-station-01,-48.0,7.17,1019.22
2025-03-26 05:43:48,env-station-01,24.5,24.69,1688.56
2025-03-26 05:43:58,env-station-01,-43.64,88.74,723.27
2025-03-26 05:44:08,env-station-01,-30.53,99.22,1622.87
2025-03-26 05:44:18,env-station-01,6.5,38.93,1915.35
2025-03-26 05:44:28,env-station-01,-0.25,67.64,1598.48
2025-03-26 05:44:38,env-station-01,-30.37,70.75,685.0
2025-03-26 05:44:48,env-station-01,-19.46,5.66,840.33
2025-03-26 05:44:58,env-station-01,-21.54,19.59,567.01
2025-03-26 05:45:08,env-station-01,-25.85,70.91,1682.49
2025-03-26 05:45:18,env-station-01,-23.92,34.54,1519.98
2025-03-26 05:45:28,env-station-01,32.85,46.66,1033.88
2025-03-26 05:45:38,env-station-01,-38.09,98.75,347.58
2025-03-26 05:45:48,env-station-01,42.86,1.73,1403.04
2025-03-26 05:45:58,env-station-01,-19.22,25.91,1888.92
2025-03-26 05:46:08,env-station-01,8.58,78.94,844.24
2025-03-26 05:46:18,env-station-01,-42.22,87.98,641.61
2025-03-26 05:46:28,env-station-01,10.68,91.79,1044.76
2025-03-26 05:46:38,env-station-01,29.81,63.88,555.25
2025-03-26 05:46:48,env-station-01,-37.76,15.05,1138.01
2025-03-26 05:46:58,env-station-01,9.23,98.31,573.27
2025-03-26 05:47:08,env-station-01,-25.26,0.74,1504.85
2025-03-26 05:47:18,env-station-01,-28.84,25.94,764.03
2025-03-26 05:47:28,env-station-01,44.87,3.2,807.22
2025-03-26 05:47:38,env-station-01,48.49,47.75,1950.51
2025-03-26 05:47:48,env-station-01,33.38,98.0,607.52
2025-03-26 05:47:58,env-station-01,11.72,60.64,931.81
2025-03-26 05:48:08,env-station-01,28.68,6.35,435.26
2025-03-26 05:48:18,env-station-01,-42.85,25.94,1164.42
2025-03-26 05:48:28,env-station-01,40.86,67.36,1576.23
2025-03-26 05:48:38,env-station-01,12.1,39.48,1503.86
2025-03-26 05:48:48,env-station-01,-13.76,94.42,1398.15
2025-03-26 05:48:58,env-station-01,-2.77,0.9,1326.97
2025-03-26 05:49:08,env-station-01,3.69,70.37,1490.32
2025-03-26 05:49:18,env-station-01,14.17,85.75,506.75
2025-03-26 05:49:28,env-station-01,-48.4,50.4,622.34
2025-03-26 05:49:38,env-station-01,17.33,11.5,1067.29
2025-03-26 05:49:48,env-station-01,47.73,89.35,486.62
2025-03-26 05:49:58,env-station-01,-37.9,43.24,1327.39
2025-03-26 05:50:08,env-station-01,8.51,2.08,1307.88
